rank,venue,status,n_papers,n_2020plus,year_range,cum_share_all,cum_share_2020plus
303,Proceedings of the 2021 Conference on Empirical Methods in Natural Language Processing,conference,1,1,2021–2021,0.967,0.956
304,"Aging, Neuropsychology, and Cognition",not-listed,1,0,2019–2019,0.968,1.000
305,"Proceedings of the 55th Annual Meeting of the Association for
          Computational Linguistics (Volume 1: Long Papers)",conference,1,1,2020–2020,0.968,0.956
306,Magnetic Resonance in Medicine,not-listed,1,0,2019–2019,0.968,1.000
307,Second meeting of the North American Chapter of the Association for Computational Linguistics on Language technologies 2001  - NAACL '01,conference,1,1,2024–2024,0.968,0.957
308,Findings of the Association for Computational Linguistics ACL 2024,conference,1,1,2024–2024,0.969,0.958
309,Imaging Neuroscience,listed,1,1,2025–2025,0.969,0.959
310,American Journal of Sociology,not-listed,1,1,2026–2026,0.969,0.960
311,Proceedings of the thiry-fourth annual ACM symposium on Theory of computing,not-listed,1,1,2021–2021,0.969,0.961
312,arXiv (cs.CE),arxiv-gap,1,1,2021–2021,0.970,0.961
313,WormBook,not-listed,1,1,2022–2022,0.970,0.962
314,Journal of Internal Medicine,not-listed,1,1,2021–2021,0.970,0.963
315,Procedia Technology,not-listed,1,0,2018–2018,0.970,1.000
316,Journal of Neurolinguistics,not-listed,1,1,2020–2020,0.971,0.964
317,Proceedings of the 61st Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers),conference,1,1,2023–2023,0.971,0.964
318,Autonomous Robots,not-listed,1,1,2025–2025,0.971,0.965
319,2022 International Conference on Robotics and Automation (ICRA),not-listed,1,1,2024–2024,0.971,0.966
320,Epilepsia,not-listed,1,0,2015–2015,0.972,1.000
321,Inhibition in cognition.,not-listed,1,0,2007–2007,0.972,1.000
322,Interspeech 2020,not-listed,1,1,2020–2020,0.972,0.966
323,Interspeech 2021,not-listed,1,1,2021–2021,0.972,0.967
324,Frontiers in Computer Science,not-listed,1,1,2021–2021,0.973,0.968
325,2017 International Workshop on Pattern Recognition in Neuroimaging (PRNI),not-listed,1,0,2017–2017,0.973,1.000
326,Journal of Gerontology,not-listed,1,0,2014–2014,0.973,1.000
327,arXiv (cs.DS),arxiv-gap,1,0,2016–2016,0.973,1.000
328,Social Science &amp; Medicine,not-listed,1,0,2019–2019,0.974,1.000
329,2014 International Workshop on Pattern Recognition in Neuroimaging,not-listed,1,0,2014–2014,0.974,1.000
330,arXiv (cs.SC),arxiv-gap,1,0,2016–2016,0.974,1.000
331,2007 IEEE Conference on Computer Vision and Pattern Recognition,conference,1,0,2007–2007,0.974,1.000
332,Biological Psychiatry: Cognitive Neuroscience and Neuroimaging,not-listed,1,1,2021–2021,0.975,0.969
333,F1000Research,not-listed,1,0,2016–2016,0.975,1.000
334,Proceedings of the 2015 Conference on Empirical Methods in Natural Language Processing,conference,1,0,2017–2017,0.975,1.000
335,arXiv (astro-ph.IM),arxiv-gap,1,0,2016–2016,0.975,1.000
336,Brain Stimulation,not-listed,1,0,2013–2013,0.976,1.000
337,Journal of Anatomy,not-listed,1,0,2005–2005,0.976,1.000
338,Journal of the International Neuropsychological Society,not-listed,1,1,2022–2022,0.976,0.969
339,Review of Educational Research,not-listed,1,1,2022–2022,0.976,0.970
340,2019 IEEE International Conference on Prognostics and Health Management (ICPHM),not-listed,1,0,2019–2019,0.977,1.000
341,Social Cognitive and Affective Neuroscience,not-listed,1,0,2019–2019,0.977,1.000
342,Proceedings of the 18th ACM international conference on Multimedia,not-listed,1,1,2022–2022,0.977,0.971
343,Neural Processing Letters,not-listed,1,0,2002–2002,0.977,1.000
344,Journal of Theoretical Biology,not-listed,1,0,2019–2019,0.978,1.000
345,The Cambridge Handbook of Computational Cognitive Sciences,not-listed,1,0,2008–2008,0.978,1.000
346,Current Opinion in Psychology,not-listed,1,0,2018–2018,0.978,1.000
347,Handbook of Child Psychology,not-listed,1,1,2023–2023,0.978,0.972
348,Journal of Personality and Social Psychology,not-listed,1,1,2021–2021,0.979,0.972
349,Review of Financial Studies,not-listed,1,1,2023–2023,0.979,0.973
350,Biocomputing 2018,not-listed,1,0,2018–2018,0.979,1.000
351,arXiv (cs.CY),arxiv-gap,1,1,2025–2025,0.979,0.974
352,Proceedings of the 57th Annual Meeting of the Association for Computational Linguistics,conference,1,1,2023–2023,0.980,0.974
353,Encyclopedia of Machine Learning,not-listed,1,0,2002–2002,0.980,1.000
354,You and Your Lodger,not-listed,1,0,2014–2014,0.980,1.000
355,Findings of the Association for Computational Linguistics: EMNLP 2023,conference,1,1,2024–2024,0.981,0.976
356,Proceedings of the 28th international conference on Software engineering,not-listed,1,0,2013–2013,0.981,1.000
357,Proceedings of the 2014 Conference on Empirical Methods in Natural Language Processing (EMNLP),conference,1,0,2014–2014,0.981,1.000
358,Statistical Applications in Genetics and Molecular Biology,not-listed,1,0,2010–2010,0.981,1.000
359,AIP Advances,not-listed,1,0,2018–2018,0.982,1.000
360,"2017 55th Annual Allerton Conference on Communication, Control, and Computing (Allerton)",not-listed,1,0,2017–2017,0.982,1.000
361,Nature Genetics,not-listed,1,0,2015–2015,0.982,1.000
362,Journal of Physics: Conference Series,not-listed,1,0,2008–2008,0.982,1.000
363,British Journal of Psychology,not-listed,1,1,2024–2024,0.983,0.977
364,The R Journal,not-listed,1,1,2022–2022,0.983,0.977
365,"2008 46th Annual Allerton Conference on Communication, Control, and Computing",not-listed,1,0,2008–2008,0.983,1.000
366,arXiv (math.ST),arxiv-gap,1,0,2013–2013,0.983,1.000
367,Journal of Educational Psychology,not-listed,1,0,2014–2014,0.984,1.000
368,Clinical Autonomic Research,not-listed,1,0,2013–2013,0.984,1.000
369,The Annals of Statistics,not-listed,1,0,2019–2019,0.984,1.000
370,Graphical Models,not-listed,1,0,2000–2000,0.984,1.000
371,Proceedings of the 20th ACM SIGKDD international conference on Knowledge discovery and data mining,not-listed,1,1,2022–2022,0.985,0.978
372,American Psychologist,not-listed,1,0,2012–2012,0.985,1.000
373,Dialogues in Clinical Neuroscience,not-listed,1,0,2012–2012,0.985,1.000
374,Annals of the New York Academy of Sciences,not-listed,1,0,2008–2008,0.985,1.000
375,Statistics in Medicine,not-listed,1,0,2018–2018,0.986,1.000
376,Psychological Medicine,not-listed,1,1,2022–2022,0.986,0.979
377,Journal of Cell Science,not-listed,1,0,2008–2008,0.986,1.000
378,2022 IEEE 25th International Conference on Computer Supported Cooperative Work in Design (CSCWD),not-listed,1,1,2022–2022,0.986,0.980
379,International Journal of Bifurcation and Chaos,not-listed,1,0,2005–2005,0.987,1.000
380,BMC Psychiatry,not-listed,1,0,2014–2014,0.987,1.000
381,Scientometrics,not-listed,1,1,2024–2024,0.987,0.980
382,Memory Reconsolidation,not-listed,1,0,2018–2018,0.987,1.000
383,Biology and Diseases of the Ferret,not-listed,1,0,2018–2018,0.988,1.000
384,Proceedings of the 2015 Conference of the North American Chapter of the Association for Computational Linguistics: Human Language Technologies,conference,1,0,2018–2018,0.988,1.000
385,Diabetes Care,not-listed,1,0,2018–2018,0.988,1.000
386,Journal of Autism and Developmental Disorders,not-listed,1,1,2022–2022,0.988,0.981
387,Connection Science,not-listed,1,0,2011–2011,0.989,1.000
388,Proceedings of the Association for Information Science and Technology,not-listed,1,1,2023–2023,0.989,0.982
389,International Journal of Game Theory,not-listed,1,0,2017–2017,0.989,1.000
390,Frontiers in Synaptic Neuroscience,not-listed,1,0,2018–2018,0.989,1.000
391,Neuromethods,not-listed,1,0,2019–2019,0.990,1.000
392,Proceedings of the 30th International Conference on Intelligent User Interfaces,conference,1,1,2025–2025,0.990,0.982
393,Neuroscience Research,not-listed,1,0,2014–2014,0.990,1.000
394,Augmentative and Alternative Communication,not-listed,1,1,2023–2023,0.990,0.983
395,arXiv (cs.IR),arxiv-gap,1,1,2024–2024,0.991,0.984
396,arXiv (math.CO),arxiv-gap,1,0,2012–2012,0.991,1.000
397,Proceedings of the Eighth Workshop on Computational Linguistics and Clinical Psychology,not-listed,1,1,2022–2022,0.991,0.985
398,ACM Computing Surveys,not-listed,1,1,2023–2023,0.991,0.985
399,The Making of Human Concepts,not-listed,1,0,2000–2000,0.992,1.000
400,Molecular Neurodegeneration,not-listed,1,1,2024–2024,0.992,0.986
401,Automatica,not-listed,1,0,2014–2014,0.992,1.000
402,"Proceedings of the 11th International Workshop on Semantic Evaluation
          (SemEval-2017)",not-listed,1,0,2018–2018,0.992,1.000
403,The American Mathematical Monthly,not-listed,1,0,2015–2015,0.993,1.000
404,Frontiers in Dementia,not-listed,1,1,2024–2024,0.993,0.987
405,Psychophysiology,listed,1,1,2025–2025,0.993,0.988
406,arXiv (cs.MS),arxiv-gap,1,0,2017–2017,0.993,1.000
407,"2018 IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP)",not-listed,1,0,2018–2018,0.994,1.000
408,Developmental Cognitive Neuroscience,not-listed,1,0,2019–2019,0.994,1.000
409,Acta Psychologica,not-listed,1,1,2023–2023,0.994,0.988
410,arXiv (math.OC),arxiv-gap,1,0,2018–2018,0.994,1.000
411,The Cerebellum,not-listed,1,1,2023–2023,0.995,0.989
412,"Advances in Science, Technology &amp; Innovation",not-listed,1,1,2026–2026,0.995,0.990
413,The Annals of Applied Statistics,not-listed,1,0,2011–2011,0.995,1.000
414,Journal of Neuroscience Methods,not-listed,1,0,2015–2015,0.995,1.000
415,DIGITAL HEALTH,not-listed,1,1,2025–2025,0.996,0.991
416,Network: Computation in Neural Systems,not-listed,1,1,2026–2026,0.996,0.992
417,Springer Texts in Statistics,not-listed,1,0,2010–2010,0.996,1.000
418,Artifact Digital Object Group,not-listed,1,1,2023–2023,0.996,0.993
419,Communications in Statistics - Simulation and Computation,not-listed,1,1,2020–2020,0.997,0.993
420,Journal of the Royal Statistical Society Series B: Statistical Methodology,not-listed,1,1,2025–2025,0.997,0.994
421,Logic Journal of IGPL,not-listed,1,0,2010–2010,0.997,1.000
422,"Academic Work and Careers in Europe: Trends, Challenges, Perspectives",not-listed,1,1,2024–2024,0.997,0.995
423,Animal Cognition,not-listed,1,1,2020–2020,0.998,0.996
424,2010 IEEE Computer Society Conference on Computer Vision and Pattern Recognition,conference,1,0,2010–2010,0.998,1.000
425,Proceedings of the Eleventh ACM International Conference on Web Search and Data Mining,not-listed,1,0,2017–2017,0.998,1.000
426,IEEE Transactions on Systems Science and Cybernetics,not-listed,1,1,2023–2023,0.998,0.996
427,Communications Engineering,not-listed,1,1,2023–2023,0.999,0.997
428,Psychocinematics,not-listed,1,0,2013–2013,0.999,1.000
429,Proceedings of the 2016 Conference of the North American Chapter of the Association for Computational Linguistics: Human Language Technologies,conference,1,1,2021–2021,0.999,0.998
430,Brain Communications,not-listed,1,1,2022–2022,0.999,0.999
431,Advanced Science,not-listed,1,1,2024–2024,1.000,0.999
432,Computational Psychiatry,not-listed,1,1,2020–2020,1.000,1.000
